,away_team.statistics.fumbles.team.lost,away_team.statistics.kickoffs.team.ret,away_team.statistics.fourth_down_efficiency.team.att,away_team.statistics.passing.team.rating,home_team.statistics.kickoffs.team.kicks,home_team.statistics.fourth_down_efficiency.team.att,home_team.statistics.passing.team.rating
1698,1,4,0,99.1,4,0,81.3
1699,1,1,1,119.1,7,0,124.2
1700,0,4,0,129.1,3,2,69.8
1701,0,2,3,64.1,7,0,109.8
1702,0,1,1,79.0,5,1,143.9
1703,0,3,0,119.2,5,2,57.0
1704,0,2,0,84.4,6,1,89.3
1705,4,1,1,71.4,9,0,139.6
1707,0,3,0,131.4,4,2,83.1
1715,0,0,0,77.5,4,0,120.3
1714,0,1,2,41.9,6,1,82.9
1713,0,1,1,79.6,4,0,127.1
1712,1,2,1,88.8,4,0,61.6
1706,1,2,0,116.8,6,2,98.0
1710,0,1,0,62.6,4,1,91.5
1709,0,1,2,61.5,7,1,123.2
1708,0,3,1,103.4,8,0,114.4
1711,0,1,1,134.8,4,0,79.5
1716,0,0,1,103.3,6,1,99.4
1718,2,7,1,136.0,3,2,70.4
1717,1,1,0,85.7,6,0,101.5
1719,0,2,1,112.6,5,1,110.8
1720,1,4,0,94.7,6,2,71.5
1721,0,2,0,117.5,3,0,53.0
1722,0,2,0,151.2,4,3,83.6
1723,1,0,0,93.8,7,0,137.4
1724,0,1,0,116.4,4,0,68.9
1725,0,1,0,59.4,6,0,75.1
1726,1,2,0,54.8,8,0,123.3
1727,0,1,1,77.9,5,1,121.1
1728,2,5,2,109.3,3,1,67.9
1729,1,1,2,81.8,8,0,130.0
1731,0,2,0,87.2,9,1,98.9
1730,2,2,2,42.3,7,0,87.9
1732,2,1,2,100.6,7,0,137.4
1733,1,2,0,83.9,7,0,144.4
1734,1,0,2,45.8,7,0,113.3
1743,0,2,1,64.4,5,0,98.0
1742,0,0,0,88.1,3,0,78.8
1741,0,4,0,91.8,7,0,70.1
1740,0,5,2,83.2,7,0,104.9
1735,3,1,1,103.7,7,0,86.2
1738,2,1,3,65.1,5,1,72.8
1736,0,2,2,97.9,6,1,123.6
1739,2,1,1,95.5,6,0,84.8
1737,1,3,0,103.1,4,1,52.0
1744,0,0,0,65.7,8,0,110.2
1745,0,4,0,65.7,7,1,88.7
1746,1,0,1,33.4,6,0,125.3
1747,3,1,1,112.6,10,1,110.7
1748,0,1,1,127.3,4,0,102.0
1749,1,0,0,97.7,5,1,109.3
1756,0,1,2,64.4,6,0,113.0
1755,0,2,1,99.7,5,1,83.3
1754,0,2,2,83.5,2,1,41.3
1752,1,1,0,88.7,5,0,87.4
1750,0,2,0,139.6,4,2,94.1
1753,0,6,0,117.9,4,0,70.9
1751,1,3,0,149.7,4,2,83.0
1757,0,3,1,120.3,5,0,107.7
1760,2,5,0,110.2,6,1,47.6
1758,0,3,0,109.6,4,2,73.1
1759,1,1,1,78.2,7,0,93.9
